id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO605865016,Otro Día Para Morir - James Bond - Agente 007 - Película,used,,gold_pro,https://articulo.mercadolibre.com.co/MCO-605865016-otro-dia-para-morir-james-bond-agente-007-pelicula-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,70000,1,50084.0,Libreria Torre de Babel,True,2041-01-30T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,157197540,LIBRERIATORREDEBABEL,12.0,5833.33,0.0,COP,
MCO1343926079,4 Non Blondes Bigger Better Faster More Cd Importado,new,MCO23043750,gold_pro,https://www.mercadolibre.com.co/4-non-blondes-bigger-better-faster-more-cd-importado/p/MCO23043750,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,,,True,2043-09-25T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
MCO1368631899,Romeo Santos / Golden - 1 Cd,new,MCO22703315,gold_pro,https://www.mercadolibre.com.co/romeo-santos-golden-1-cd/p/MCO22703315,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,,,True,2043-11-30T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
MCO1369311901,Latina / Thalia / Disco Cd Con 13 Canciones,new,MCO22847202,gold_pro,https://www.mercadolibre.com.co/latina-thalia-disco-cd-con-13-canciones/p/MCO22847202,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,45000,1,,,True,2043-12-02T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,3750.0,0.0,COP,
MCO1649290106,Ricardo Montaner - Agradecido,new,MCO22842621,gold_pro,https://www.mercadolibre.com.co/ricardo-montaner-agradecido-disco-cd-con-17-canciones/p/MCO22842621,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,35000,1,,,True,2043-06-08T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,2916.67,0.0,COP,
MCO1680424144,Jennifer Lopez  Dance Again... The Hits   Cd,new,MCO22726017,gold_pro,https://www.mercadolibre.com.co/jennifer-lopez-dance-again-the-hits-cd/p/MCO22726017,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,1,,,True,2043-06-24T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_out']",,,181939816,HITMUSICAL DISCOTIENDA,12.0,5833.33,0.0,COP,
MCO1061251468,Cowboy Bebop La Película Edición Especial Dvd,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1061251468-cowboy-bebop-la-pelicula-edicion-especial-dvd-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,50000,1,,,True,2044-01-19T22:28:02.971Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,18756528,ACEZITSUMO,36.0,1388.89,0.0,COP,DVD
MCO1757337316,Carlos Vives - Más Corazón Profundo Cd+dvd,new,MCO23856832,gold_pro,https://www.mercadolibre.com.co/carlos-vives-mas-corazon-profundo-cddvd/p/MCO23856832,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,30000,1,,,True,2043-07-26T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,2500.0,0.0,COP,
MCO1784322022,Queen - News Of The World - Vinilo Importado,new,MCO23068339,gold_special,https://www.mercadolibre.com.co/queen-news-of-the-world-vinilo-importado/p/MCO23068339,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,278900,1,,,True,2043-08-05T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,427030103,NEOCOMMERCE COL,36.0,7747.22,0.0,COP,universal music group
MCO1810934122,Alice Cooper Greatest Hits Cd,new,MCO22856262,gold_pro,https://www.mercadolibre.com.co/alice-cooper-greatest-hits-cd/p/MCO22856262,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,,,True,2043-08-18T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
