id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id
MCO1967439002,Libro Latidos Que No Dije ,new,MCO21452598,gold_special,https://www.mercadolibre.com.co/libro-latidos-que-no-dije/p/MCO21452598,buy_it_now,MCO,MCO1196,MCO-BOOKS,22950,,1,,True,2043-10-11T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['self_service_out'],,,1249364674,LIBROSTODAY2103,36,637.5,0,COP
MCO1322767369,"Generación Idiota, De Laje, Agustín. Editorial Harpercollins, Tapa Blanda En Español, 2023",new,MCO24531090,gold_special,https://www.mercadolibre.com.co/generacion-idiota-de-laje-agustin-editorial-harpercollins-tapa-blanda-en-espanol-2023/p/MCO24531090,buy_it_now,MCO,MCO1196,MCO-BOOKS,64371,69900.0,1,,True,2043-07-31T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,675683573,DISPEREGRINO,36,1788.08,0,COP
MCO1240954888,Yolo Aventuras El Misterio Del Amazonas ( Y Original ),new,MCO20740887,gold_special,https://www.mercadolibre.com.co/yolo-aventuras-el-misterio-del-amazonas-y-original-/p/MCO20740887,buy_it_now,MCO,MCO1196,MCO-BOOKS,49000,,1,,True,2043-02-11T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1361.11,0,COP
MCO2200403924,"La Teoría De Kim, De Jay Sandoval. Serie 6287575172, Vol. 1. Editorial Grupo Planeta, Tapa Blanda, Edición 2023 En Español, 2023",new,MCO29832666,gold_special,https://www.mercadolibre.com.co/la-teoria-de-kim-de-jay-sandoval-serie-6287575172-vol-1-editorial-grupo-planeta-tapa-blanda-edicion-2023-en-espanol-2023/p/MCO29832666,buy_it_now,MCO,MCO1196,MCO-BOOKS,72000,,1,,True,2044-01-31T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,2000.0,0,COP
MCO1339556629,Libro: Meditaciones / Marco Aurelio - Alma Ilustrado,new,MCO22139606,gold_special,https://www.mercadolibre.com.co/libro-meditaciones-marco-aurelio-alma-ilustrado/p/MCO22139606,buy_it_now,MCO,MCO1196,MCO-BOOKS,69000,,1,,True,2043-09-13T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1916.67,0,COP
MCO2203178286,Biblia Infantil Reina Valera 1960 Para Niñas - Forro Rosado,new,MCO21386563,gold_special,https://www.mercadolibre.com.co/biblia-infantil-reina-valera-1960-para-ninas-forro-rosado/p/MCO21386563,buy_it_now,MCO,MCO1196,MCO-BOOKS,62079,,1,,True,2044-02-03T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,['self_service_out'],,,39810996,QUANTUM_CONNOR,36,1724.42,0,COP
MCO2080630254,La Biblia Para Todos Los Niños,new,MCO21243306,gold_pro,https://www.mercadolibre.com.co/la-biblia-para-todos-los-ninos/p/MCO21243306,buy_it_now,MCO,MCO1196,MCO-BOOKS,29281,,1,,True,2043-11-30T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,702052164,VAMA8993855,12,2440.08,0,COP
MCO1240985104,La Gran Enciclopedia De Dinosaurios Con Realidad Aumentada,new,MCO19973721,gold_special,https://www.mercadolibre.com.co/la-gran-enciclopedia-de-dinosaurios-con-realidad-aumentada/p/MCO19973721,buy_it_now,MCO,MCO1196,MCO-BOOKS,58000,,1,,True,2043-02-11T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,"['self_service_in', 'fs_threshold_mco_change_jul2021']",,,394380898,MUNDIALDELIBROS,36,1611.11,0,COP
MCO1304305655,"Mandalas: Colores De Universo Tomo 2, De Nika Editorial., Vol. 2. Editorial Nacional, Tapa Dura, Edición Tomo 2 En Español",new,MCO23448469,gold_special,https://www.mercadolibre.com.co/mandalas-colores-de-universo-tomo-2-de-nika-editorial-vol-2-editorial-nacional-tapa-dura-edicion-tomo-2-en-espanol/p/MCO23448469,buy_it_now,MCO,MCO1196,MCO-BOOKS,22900,,1,2068.0,True,2043-06-04T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,636.11,0,COP
MCO2010221160,"Jorge Isaacs: María, Novela Gráfica",new,MCO22205983,gold_special,https://www.mercadolibre.com.co/jorge-isaacs-maria-novela-grafica/p/MCO22205983,buy_it_now,MCO,MCO1196,MCO-BOOKS,31000,,1,,True,2043-11-01T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,861.11,0,COP
MCO1168721609,Las 48 Leyes Del Poder ( Libro Y Original),new,MCO20773882,gold_special,https://www.mercadolibre.com.co/las-48-leyes-del-poder-libro-y-original/p/MCO20773882,buy_it_now,MCO,MCO1196,MCO-BOOKS,90000,,1,,True,2042-12-25T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in', 'mandatory_free_shipping']",,,212059432,LIBRERIATIQUE,36,2500.0,0,COP
MCO2135238722,Libro Orgullo Y Prejuicio - Original,new,MCO21330970,gold_special,https://www.mercadolibre.com.co/libro-orgullo-y-prejuicio-original/p/MCO21330970,buy_it_now,MCO,MCO1196,MCO-BOOKS,23000,,1,2068.0,True,2044-01-01T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,638.89,0,COP
MCO2056784750,El Poder De La Mente Subconsciente - Josehp Murphy,new,MCO21458663,gold_special,https://www.mercadolibre.com.co/el-poder-de-la-mente-subconsciente-josehp-murphy/p/MCO21458663,buy_it_now,MCO,MCO1196,MCO-BOOKS,24000,,1,2068.0,True,2043-11-23T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,666.67,0,COP
MCO1318651429,Diabetes Sin Problemas. El Control De La Diabetes Con La Ayuda Del Poder Del Metabolismo. Frank Suárez,new,MCO21499805,gold_special,https://www.mercadolibre.com.co/diabetes-sin-problemas-el-control-de-la-diabetes-con-la-ayuda-del-poder-del-metabolismo-frank-suarez/p/MCO21499805,buy_it_now,MCO,MCO1196,MCO-BOOKS,69000,,1,2068.0,True,2043-07-19T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,1916.67,0,COP
MCO1875872276,El Alquimista Libro Original,new,MCO20736997,gold_special,https://www.mercadolibre.com.co/el-alquimista-libro-original/p/MCO20736997,buy_it_now,MCO,MCO1196,MCO-BOOKS,60000,,1,,True,2043-08-31T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1666.67,0,COP
MCO1326934440,"El Mito De Sisifo. Camus, Albert",new,MCO22061000,gold_special,https://www.mercadolibre.com.co/el-mito-de-sisifo-camus-albert/p/MCO22061000,buy_it_now,MCO,MCO1196,MCO-BOOKS,39500,,1,2068.0,True,2043-03-13T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,1097.22,0,COP
MCO2010189376,De Que Hablo Cuando Hablo De Correr,new,MCO21542924,gold_special,https://www.mercadolibre.com.co/de-que-hablo-cuando-hablo-de-correr/p/MCO21542924,buy_it_now,MCO,MCO1196,MCO-BOOKS,40000,,1,,True,2043-11-01T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1111.11,0,COP
MCO1191950221,Un Curso De Milagros,new,MCO20768995,gold_pro,https://www.mercadolibre.com.co/un-curso-de-milagros/p/MCO20768995,buy_it_now,MCO,MCO1196,MCO-BOOKS,89000,,1,,True,2043-01-08T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,"['fs_threshold_mco_change_jul2021', 'self_service_in']",,,438128163,SOLUCIONESONLINE_COLOMBIA_SAS,12,7416.67,0,COP
MCO1313145477,"Cabeza, Corazón Y Manos, De Gonzalez Alorda Iriarte, Alvaro. Editorial Aguilar, Tapa Blanda, Edición 1 En Español, 2022",new,MCO24031484,gold_special,https://www.mercadolibre.com.co/cabeza-corazon-y-manos-de-gonzalez-alorda-iriarte-alvaro-editorial-aguilar-tapa-blanda-edicion-1-en-espanol-2022/p/MCO24031484,buy_it_now,MCO,MCO1196,MCO-BOOKS,42000,,1,2068.0,True,2043-07-04T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,1166.67,0,COP
MCO2204747194,El Poder Del Ahora De Eckhart Tolle,new,MCO21142756,gold_special,https://www.mercadolibre.com.co/el-poder-del-ahora-de-eckhart-tolle/p/MCO21142756,buy_it_now,MCO,MCO1196,MCO-BOOKS,48000,,1,,True,2044-02-05T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,399076820,CUCI2254104,36,1333.33,0,COP
MCO1150035332,Ikigai. Los Secretos De Japón Para Una Vida Larga Y Feliz,new,MCO20772013,gold_special,https://www.mercadolibre.com.co/ikigai-los-secretos-de-japon-para-una-vida-larga-y-feliz/p/MCO20772013,buy_it_now,MCO,MCO1196,MCO-BOOKS,40000,,1,2068.0,True,2042-12-14T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,1111.11,0,COP
MCO1303074299,Libro El Poder Del Metabolismo De Frank Suarez,new,MCO19868829,gold_pro,https://www.mercadolibre.com.co/libro-el-poder-del-metabolismo-de-frank-suarez/p/MCO19868829,buy_it_now,MCO,MCO1196,MCO-BOOKS,55000,,1,,True,2043-06-01T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,438128163,SOLUCIONESONLINE_COLOMBIA_SAS,12,4583.33,0,COP
MCO1272252415,Las Perrerías De Mike 1. Mikecrack Y La Estrella Maldita,new,MCO22017813,gold_special,https://www.mercadolibre.com.co/las-perrerias-de-mike-1-mikecrack-y-la-estrella-maldita/p/MCO22017813,buy_it_now,MCO,MCO1196,MCO-BOOKS,47500,,1,,True,2043-03-12T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1319.44,0,COP
MCO1337890947,"La Explosión Controlada: La Encrucijada Del Líder Que Prometió El Cambio, De Alejandro Gaviria. Editorial Debate, Tapa Blanda, Edición 2023 En Español, 2023",new,MCO25732722,gold_special,https://www.mercadolibre.com.co/la-explosion-controlada-la-encrucijada-del-lider-que-prometio-el-cambio-de-alejandro-gaviria-editorial-debate-tapa-blanda-edicion-2023-en-espanol-2023/p/MCO25732722,buy_it_now,MCO,MCO1196,MCO-BOOKS,43800,,1,,True,2043-09-08T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1216.67,0,COP
MCO1382275579,Àlgebra De Baldor ,new,MCO20750278,gold_special,https://www.mercadolibre.com.co/lgebra-de-baldor/p/MCO20750278,buy_it_now,MCO,MCO1196,MCO-BOOKS,80000,,1,,True,2044-01-12T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021']",,,399076820,CUCI2254104,36,2222.22,0,COP
MCO2200845402,"Cómo Ganar Amigos E Influir Sobre Las Personas, De Dale Carnegie. Editorial Sudamericana, Tapa Blanda En Español",new,MCO23664516,gold_special,https://www.mercadolibre.com.co/como-ganar-amigos-e-influir-sobre-las-personas-de-dale-carnegie-editorial-sudamericana-tapa-blanda-en-espanol/p/MCO23664516,buy_it_now,MCO,MCO1196,MCO-BOOKS,29000,,1,,True,2044-02-01T04:00:00.000Z,True,[],,MCO3025,False,False,xd_drop_off,me2,[],,,707107798,RRYV.COM,36,805.56,0,COP
MCO1375384909,Harry Potter Y El Prisionero De Azkaban (harry Potter 3),new,MCO20766023,gold_special,https://www.mercadolibre.com.co/harry-potter-y-el-prisionero-de-azkaban-harry-potter-3/p/MCO20766023,buy_it_now,MCO,MCO1196,MCO-BOOKS,44500,,1,2068.0,True,2043-12-22T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36,1236.11,0,COP
MCO1337865723,"El Efecto Compuesto, De Darren Hardy. Editorial Taller De Éxito, Tapa Blanda En Español",new,MCO26431841,gold_special,https://www.mercadolibre.com.co/el-efecto-compuesto-de-darren-hardy-editorial-taller-de-exito-tapa-blanda-en-espanol/p/MCO26431841,buy_it_now,MCO,MCO1196,MCO-BOOKS,58500,,1,,True,2043-09-08T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1625.0,0,COP
MCO1312757081,"No Te Comas Este Libro Mikecrack, De Mikecrack. Editorial Planeta, Tapa Blanda En Español, 2023",new,MCO23978822,gold_special,https://www.mercadolibre.com.co/no-te-comas-este-libro-mikecrack-de-mikecrack-editorial-planeta-tapa-blanda-en-espanol-2023/p/MCO23978822,buy_it_now,MCO,MCO1196,MCO-BOOKS,52000,,1,,True,2043-07-03T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36,1444.44,0,COP
