id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO881088627,Impresora A Color  Multifunción Epson Ecotank L3110 Negra 110v,new,MCO14447706,gold_special,https://www.mercadolibre.com.co/impresora-a-color-multifuncion-epson-ecotank-l3110-negra-110v/p/MCO14447706,buy_it_now,MCO,MCO1676,MCO-PRINTERS,1169000,,1,,True,2042-04-07T04:00:00.000Z,True,[],MCO1648,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,194684784,MEGAOUTLETDEIMPRESION REDSERVA,36.0,32472.22,0.0,COP,Epson
MCO2149430118,"Kit 5 Tintas 504, Para Epson L6171 L6191 L4150 L4260 L6270",new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-2149430118-kit-5-tintas-504-para-epson-l6171-l6191-l4150-l4260-l6270-_JM,buy_it_now,MCO,MCO10871,MCO-PRINTER_INKS,90000,,1,,True,2044-01-08T04:00:00.000Z,False,[],MCO1648,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,200247880,ALXS01,12.0,7500.0,0.0,COP,Epson
MCO880753028,Monitor Gamer LG 29wn600 Led 29  Blanco 100v/240v,new,MCO17395572,gold_special,https://www.mercadolibre.com.co/monitor-gamer-lg-29wn600-led-29-blanco-100v240v/p/MCO17395572,buy_it_now,MCO,MCO1656,MCO-COMPUTER_MONITORS,1277900,,1,,True,2042-04-06T04:00:00.000Z,True,[],MCO1648,False,True,cross_docking,me2,['mandatory_free_shipping'],,,24754567,INV. GAMEOS,36.0,35497.22,0.0,COP,LG
MCO1956015414,Base Soporte  Aluminio Portatil  /macbook /laptop/tablet,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1956015414-base-soporte-aluminio-portatil-macbook-laptoptablet-_JM,buy_it_now,MCO,MCO16555,MCO-LAPTOP_STANDS,22500,,1,,True,2043-10-05T04:00:00.000Z,False,[],MCO1648,False,False,cross_docking,me2,['self_service_in'],,,66208468,52 BITS,36.0,625.0,0.0,COP,Genérica
MCO1047256175,Cartuchos Hp 667xl Negro + 667 Color Estandar Originales,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1047256175-cartuchos-hp-667xl-negro-667-color-estandar-originales-_JM,buy_it_now,MCO,MCO7415,MCO-INK_CARTRIDGES,136000,,1,,True,2042-11-03T04:00:00.000Z,False,[],MCO1648,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,173468091,UNIVERSALINKCOLOMBIA,36.0,3777.78,0.0,COP,HP
MCO1347324005,Adaptador Usb Wifi 1300 Mbps Dual Band 5g Con 2 Antenas,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1347324005-adaptador-usb-wifi-1300-mbps-dual-band-5g-con-2-antenas-_JM,buy_it_now,MCO,MCO1706,MCO-NETWORK_CARDS,49900,,50,,True,2043-10-06T04:00:00.000Z,False,[],MCO1648,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,135355438,IMPORTACIONESTRIPOD,36.0,1386.11,0.0,COP,Genérica
MCO1318557363,Antena Wifi Tp Link Cpe220 Exterior 300mbps 12dbi 2x2 Mimo,new,MCO22642503,gold_special,https://www.mercadolibre.com.co/antena-wifi-tp-link-cpe220-exterior-300mbps-12dbi-2x2-mimo/p/MCO22642503,buy_it_now,MCO,MCO7642,MCO-WIRELESS_ANTENNAS_AND_ADAPTERS,255000,,1,,True,2043-07-19T04:00:00.000Z,True,[],MCO1648,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,261823200,MIP LTDA,36.0,7083.33,0.0,COP,TP-Link
MCO841079258,Cargador Para Lenovo Ideapad S145 Series 20v 3.25a 65w,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-841079258-cargador-para-lenovo-ideapad-s145-series-20v-325a-65w-_JM,buy_it_now,MCO,MCO441767,MCO-LAPTOP_CHARGERS,43148,43148.0,1,,True,2041-12-06T04:00:00.000Z,False,[],MCO1648,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,163851562,ESENTIC,12.0,3595.67,0.0,COP,Genérica
MCO621590434,Vidrio Protector De Pantalla Templado Para iPad,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-621590434-vidrio-protector-de-pantalla-templado-para-ipad-_JM,buy_it_now,MCO,MCO441790,MCO-CELLPHONE_TABLET_AND_GPS_SCREEN_PROTECTORS,18900,,250,,True,2041-05-02T04:00:00.000Z,False,[],MCO1648,False,False,xd_drop_off,me2,['self_service_in'],,,713556367,MALO2022,,,,,Genérica
MCO656223223,Estuche Funda Para Tablet,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-656223223-estuche-funda-para-tablet-_JM,buy_it_now,MCO,MCO85773,MCO-TABLET_COVERS,27455,28900.0,500,,True,2041-08-09T04:00:00.000Z,False,[],MCO1648,False,False,cross_docking,me2,['self_service_in'],,,734470958,SERVIPHONE_STORE_,12.0,2287.92,0.0,COP,Genérica
MCO514614632,Lector / Escaner Usb Código De Barras Alta Velocidad X-718,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-514614632-lector-escaner-usb-codigo-de-barras-alta-velocidad-x-718-_JM,buy_it_now,MCO,MCO6280,MCO-BAR_CODE_SCANNERS,92118,92118.0,1,,True,2039-05-18T21:56:44.000Z,False,[],MCO1648,False,True,fulfillment,me2,"['fulfillment', 'self_service_in', 'fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,52392766,JD MARKET,36.0,2558.83,0.0,COP,Genérica
MCO1382311797,Disco Virgen Dvd-r Smartbuy Imprimible De 16x Por 100 Unidades,new,MCO9682400,gold_pro,https://www.mercadolibre.com.co/disco-virgen-dvd-r-smartbuy-imprimible-de-16x-por-100-unidades/p/MCO9682400,buy_it_now,MCO,MCO113062,MCO-BLANK_DISCS,96900,,1,,True,2044-01-12T04:00:00.000Z,True,[],MCO1648,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,696566360,CINDYLORENAPEUELAMELO,12.0,8075.0,0.0,COP,SmartBuy
