id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO445747711,Lp Vinilo Soda Stereo Doble Vida Edc  Original Colombia 1988,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-445747711-lp-vinilo-soda-stereo-doble-vida-edc-original-colombia-1988-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,300000,,1,True,2037-06-29T21:48:25.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,8333.33,0.0,COP,
MCO649370450,Fundas - 45 Rpm,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-649370450-fundas-45-rpm-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,55000,,1,True,2041-07-18T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4583.33,0.0,COP,
MCO1657039968,Lp Vinilo Willie Colon & Ruben Blades Siembra Colombia 1978,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1657039968-lp-vinilo-willie-colon-ruben-blades-siembra-colombia-1978-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,150000,,1,True,2043-06-12T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,4166.67,0.0,COP,
MCO855068528,Arctic Monkeys - Favorite Worst Nightmare - Cd Nuevo,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-855068528-arctic-monkeys-favorite-worst-nightmare-cd-nuevo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,,1,True,2042-01-28T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,499571,DISIDENCIA STORE,36.0,1666.67,0.0,COP,
MCO1374670673,Blu-ray Knives Out ( Entre Navajas Y Secretos) Película 2019,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1374670673-blu-ray-knives-out-entre-navajas-y-secretos-pelicula-2019-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,94900,,1,True,2043-12-20T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,2636.11,0.0,COP,Blu-Ray + 4K Ultra HD
MCO1318928084,Silvio Rodriguez Mujeres Nuevo Lp Vinilo Edic Especial 1985,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1318928084-silvio-rodriguez-mujeres-nuevo-lp-vinilo-edic-especial-1985-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,350000,,1,True,2043-03-11T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,43989118,JOTAY2013,36.0,9722.22,0.0,COP,
MCO1675202294,Vinilo: Apetito Por La Destrucción [lp],new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1675202294-vinilo-apetito-por-la-destruccion-lp-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,241513,,50,True,2043-06-22T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,817708959,THEBOOKSTORECO,12.0,20126.08,0.0,COP,Universal Distribution
MCO2157032882,Audio Cd: Jimin (bts) - Face [undefinable Face],new,MCO22818367,gold_pro,https://articulo.mercadolibre.com.co/MCO-2157032882-audio-cd-jimin-bts-face-undefinable-face-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,159496,,1,True,2044-01-11T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1140609752,USCLUBGLOBAL-COR,12.0,13291.33,0.0,COP,-
MCO821486396,San Tropel / Telenovela Colombiana / Carlos Muñoz,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-821486396-san-tropel-telenovela-colombiana-carlos-munoz-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,50000,,1,True,2042-06-21T02:50:55.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,412618357,MASMEGATIENDAS,12.0,4166.67,0.0,COP,
MCO1286321913,Roger Waters Amused To Death Cd + Bluray,new,MCO22429163,gold_pro,https://www.mercadolibre.com.co/roger-waters-amused-to-death-cd-bluray/p/MCO22429163,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,69000,,1,True,2043-04-16T04:00:00.000Z,True,[],MCO1168,False,True,drop_off,me2,[],,,444239607,DISCOLASERMUSICENTERTAINMENT,12.0,5750.0,0.0,COP,
MCO1660607484,Dvd Película - It ( Eso) -  Película 1990 - Excelente,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1660607484-dvd-pelicula-it-eso-pelicula-1990-excelente-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,59900,,1,True,2043-06-14T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1663.89,0.0,COP,DVD
MCO1305482389,Alejandro Fernández - Personalidad - Cd + Dvd,new,MCO23654940,gold_pro,https://www.mercadolibre.com.co/alejandro-fernandez-personalidad-cd-dvd/p/MCO23654940,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,49000,,1,True,2043-06-09T04:00:00.000Z,True,[],MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,4083.33,0.0,COP,
MCO1309623765,Cd Sepultura - Machine Messiah - Nuevo,new,MCO22920202,gold_pro,https://www.mercadolibre.com.co/cd-sepultura-machine-messiah-nuevo/p/MCO22920202,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,55431,,1,True,2043-06-23T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,[],,,412618357,MASMEGATIENDAS,12.0,4619.25,0.0,COP,
MCO1310729439,Kiss Destroyer (45th Anniversary) 2 Cds,new,MCO22608232,gold_special,https://www.mercadolibre.com.co/kiss-destroyer-45th-anniversary-2-cds/p/MCO22608232,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,130000,,1,True,2043-06-27T04:00:00.000Z,True,[],MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,3611.11,0.0,COP,
MCO1312769348,Gus Colon & Orchestra Colon - Salsa Universal,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1312769348-gus-colon-orchestra-colon-salsa-universal-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,,1,True,2043-03-09T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5000.0,0.0,COP,
MCO1313485215,Radiohead The King Of Limbs Vinilo,new,MCO22872870,gold_special,https://www.mercadolibre.com.co/radiohead-the-king-of-limbs-vinilo/p/MCO22872870,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,229900,,1,True,2043-07-05T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['mandatory_free_shipping', 'self_service_out']",,,87840522,REPUBLIKA RECORDS,36.0,6386.11,0.0,COP,
MCO1335060043,Steven Tyler We Re All Somebody Cd Nuevo Importado Holanda,new,MCO23067140,gold_pro,https://www.mercadolibre.com.co/steven-tyler-we-re-all-somebody-cd-nuevo-importado-holanda/p/MCO23067140,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,44991,49990.0,1,True,2043-08-31T04:00:00.000Z,True,[],MCO1168,False,False,xd_drop_off,me2,[],,,757355146,COLOMBIATSHIRT STORE,12.0,3749.25,0.0,COP,
