id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1312893434,Guia Mejor Sexo  Parejas Colección 20 Dvds Incluye Kamasutra,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1312893434-guia-mejor-sexo-parejas-coleccion-20-dvds-incluye-kamasutra-_JM,buy_it_now,MCO,MCO445795,MCO-COURSES,95900,1,True,2043-03-09T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,56510798,THECONTAINER ESHOP,36.0,2663.89,0.0,COP,
MCO1349768041,Illapu - Antologia 1972-1982 - Cd,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1349768041-illapu-antologia-1972-1982-cd-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,True,2043-10-14T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
MCO1200540554,Pajaro Loco La Película. Joya De Culto Infravalorada,used,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1200540554-pajaro-loco-la-pelicula-joya-de-culto-infravalorada-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,5000,1,True,2043-01-19T22:09:21.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,828355102,FGP SHOP,,,,,
MCO1502972052,Vinyl Vinilo Lps Acetato Exitometro Vol.19joansebastian Sabu,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1502972052-vinyl-vinilo-lps-acetato-exitometro-vol19joansebastian-sabu-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,30000,1,True,2043-04-21T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,45548108,NIGERTOOL2011,36.0,833.33,0.0,COP,
MCO1592992828,Lp La Patrulla 15 El Gran Combo Gilberto Santa Rosa Alfa 8,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1592992828-lp-la-patrulla-15-el-gran-combo-gilberto-santa-rosa-alfa-8-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,39900,1,True,2043-05-12T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1108.33,0.0,COP,
MCO1657043964,Vinyl Vinilo Lp Acetato Lleno De Rock Vol. 2 Sabrina Los Rat,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1657043964-vinyl-vinilo-lp-acetato-lleno-de-rock-vol-2-sabrina-los-rat-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,120000,1,True,2043-06-12T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,45548108,NIGERTOOL2011,36.0,3333.33,0.0,COP,
MCO1867111990,Willie Colón Hector Lavoe Crime Pays Lp Vinilo Edic Usa 1972,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1867111990-willie-colon-hector-lavoe-crime-pays-lp-vinilo-edic-usa-1972-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,200000,1,True,2043-08-30T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,5555.56,0.0,COP,
MCO1913258056,Lp Vinilo Llena Tu Cabeza De Rock 1984 Macondo Records,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1913258056-lp-vinilo-llena-tu-cabeza-de-rock-1984-macondo-records-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,39900,1,True,2043-09-13T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,48918731,MACONDO_RECORDS,36.0,1108.33,0.0,COP,
MCO1273366193,Amelie | Le Fabuleux Destin D' Amélie Poulain - Blu-ray Disc,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1273366193-amelie-le-fabuleux-destin-d-amelie-poulain-blu-ray-disc-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,95000,1,True,2043-03-15T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,412618357,MASMEGATIENDAS,12.0,7916.67,0.0,COP,Blu-Ray
MCO1938836836,Madonna - The Complete Studio Albums 1983 - 2008 + Obsequio,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1938836836-madonna-the-complete-studio-albums-1983-2008-obsequio-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,179900,1,True,2043-09-23T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,4997.22,0.0,COP,
