level_id,power_seller_status,transactions_period,transactions_total,seller_id,user_type
5_green,platinum,historic,32983,208307959,normal
5_green,platinum,historic,23662,523565962,normal
5_green,silver,historic,5718,55858161,normal
5_green,platinum,historic,12585,246148347,brand
5_green,gold,historic,9356,275809199,normal
5_green,,historic,246,166833536,normal
5_green,gold,historic,9415,302857549,normal
5_green,silver,historic,1750,155192943,normal
5_green,gold,historic,3219,48466011,normal
5_green,silver,historic,823,737234218,normal
5_green,gold,historic,9206,185735677,normal
5_green,,historic,804,222395020,normal
5_green,gold,historic,7616,656920995,normal
5_green,platinum,historic,19103,185878286,normal
5_green,gold,historic,2091,205817232,normal
5_green,,historic,382,138984377,normal
5_green,gold,historic,8728,429755907,normal
5_green,,historic,485,152885784,normal
5_green,,historic,117,1340649532,normal
3_yellow,,historic,5599,394887418,brand
5_green,silver,historic,2996,617435684,normal
5_green,gold,historic,6855,95716649,normal
5_green,,historic,1323,173677401,normal
5_green,silver,historic,1151,250866816,normal
5_green,gold,historic,656,1447635796,normal
5_green,,historic,158,103996571,normal
5_green,,historic,102,1235654,normal
5_green,silver,historic,355,1207746959,normal
5_green,,historic,1941,181980365,normal
5_green,platinum,historic,3675,1140609752,normal
5_green,silver,historic,1520,676935244,normal
5_green,platinum,historic,34757,145328341,normal
5_green,silver,historic,2406,650235845,normal
5_green,,historic,585,1018019668,normal
5_green,silver,historic,10215,81411643,normal
5_green,,historic,272,221029412,normal
5_green,gold,historic,926,580840212,normal
5_green,,historic,386,449370011,brand
5_green,,historic,263,606301142,normal
5_green,platinum,historic,4015,599455763,normal
5_green,platinum,historic,6264,204386827,normal
5_green,gold,historic,2710,291668680,normal
5_green,,historic,5334,313798021,normal
5_green,silver,historic,321,1434726622,normal
5_green,silver,historic,1864,355905168,normal
5_green,silver,historic,1407,130623027,normal
5_green,gold,historic,5049,730731526,normal
5_green,silver,historic,783,465435839,normal
5_green,,historic,177,1311833992,normal
3_yellow,,historic,494,233131758,normal
5_green,silver,historic,202,639863361,normal
5_green,gold,historic,1733,526368796,normal
5_green,,historic,184,230963359,normal
