id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1280544427,Espada Sable 1860 Cavalry En Acero Al Carbono,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1280544427-espada-sable-1860-cavalry-en-acero-al-carbono-_JM,buy_it_now,MCO,MCO442246,MCO-COLLECTIBLE_SWORDS,769405,809900.0,1,,True,2043-03-31T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,655393932,IMPOCOLOMBIA2,12.0,64117.08,0.0,COP,
MCO2125177694,Billete Colombia 5 Pesos  1928 Falso Con Proceso Judicial,used,gold_special,https://articulo.mercadolibre.com.co/MCO-2125177694-billete-colombia-5-pesos-1928-falso-con-proceso-judicial-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,95000,,1,,True,2043-12-27T04:00:00.000Z,False,[],,MCO1367,False,False,cross_docking,me2,[],,,55172203,DISTRIBUCIONES SANTANDER,36.0,2638.89,0.0,COP,Banco de la República
MCO1276663923,"Moneda Japon 100 Yenes Periodo 1989-2019, Usado",used,gold_special,https://articulo.mercadolibre.com.co/MCO-1276663923-moneda-japon-100-yenes-periodo-1989-2019-usado-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,12000,,1,,True,2043-03-23T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO1811637398,Moneda Quarter Dollar Año 1996,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1811637398-moneda-quarter-dollar-ano-1996-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,20000,,1,,True,2043-08-18T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,448437441,NESTORYESIDBELLOSANCHEZ,36.0,555.56,0.0,COP,
MCO590857088,Escultura - Monje Lector -  Apoya Libros - Soporte Libros -,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-590857088-escultura-monje-lector-apoya-libros-soporte-libros--_JM,buy_it_now,MCO,MCO442201,MCO-SCULPTURES_AND_STATUES,180000,,1,50084.0,True,2041-08-16T21:05:19.000Z,False,[],Libreria Torre de Babel,MCO1367,False,False,not_specified,not_specified,[],,,157197540,LIBRERIATORREDEBABEL,12.0,15000.0,0.0,COP,Monje Medieval
MCO512718232,Colombia Reposición 1000 Pesos Oro 1 De Enero 1991,new,gold_special,https://articulo.mercadolibre.com.co/MCO-512718232-colombia-reposicion-1000-pesos-oro-1-de-enero-1991-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,120000,,1,,True,2039-05-05T04:00:00.000Z,False,[],,MCO1367,False,True,drop_off,me2,"['fs_threshold_mco_change_apr2021', 'fs_threshold_mco_change_jul2021', 'mandatory_free_shipping']",,,91086457,NIKY6919,36.0,3333.33,0.0,COP,
MCO596055860,Llaveros Marcas De Carros Metalico,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-596055860-llaveros-marcas-de-carros-metalico-_JM,buy_it_now,MCO,MCO172914,MCO-KEYCHAINS,11900,,1,,True,2042-01-22T19:59:39.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,168574945,COMERCIALIZADORA OSS,,,,,VARIADOS
MCO1312771499,Colombia 5 Pesos 1900,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1312771499-colombia-5-pesos-1900-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,120000,,1,,True,2043-07-03T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1368738585,CAMILO VALERO2000,36.0,3333.33,0.0,COP,banco del estado
MCO1304554463,Colombia Moneda 1 Peso 1980,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1304554463-colombia-moneda-1-peso-1980-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,9000,,1,,True,2043-06-05T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO1327369017,Poster 3d - Jet Pistola Gear 4 (one Piece),new,gold_special,https://articulo.mercadolibre.com.co/MCO-1327369017-poster-3d-jet-pistola-gear-4-one-piece-_JM,buy_it_now,MCO,MCO168946,MCO-POSTERS,40000,,1,,True,2043-08-12T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,662302012,TUMUNDOANIME,36.0,1111.11,0.0,COP,Articulo Importado
