id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1675245554,Libreta Igor En Poliuretano Con Cierre Elástico 80 Hojas,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1675245554-libreta-igor-en-poliuretano-con-cierre-elastico-80-hojas-_JM,buy_it_now,MCO,MCO388307,MCO-NOTEBOOKS_AND_WRITING_PADS,16289,16289.0,50,,,True,2043-06-22T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_in'],,,717660887,COMPRAMEHOYSTORE,,,,,Comprame Hoy
MCO917239920,Marcador De Vinilo Tipo Posterman Window Ink 15 Mm Blanco,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-917239920-marcador-de-vinilo-tipo-posterman-window-ink-15-mm-blanco-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,21000,,1,,,True,2042-06-25T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,179085534,DANICO IMPORTACIONES,12.0,1750.0,0.0,COP,Window ink
MCO864753234,Cuaderno Argollado  Cuadriculado Pequeño De 100 Hojas X 12 U,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-864753234-cuaderno-argollado-cuadriculado-pequeno-de-100-hojas-x-12-u-_JM,buy_it_now,MCO,MCO388307,MCO-NOTEBOOKS_AND_WRITING_PADS,65000,,250,,,True,2042-02-22T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_in'],,,556743192,DISTRIBUCIONES JSOP,12.0,5416.67,0.0,COP,Norma O Scribe
MCO915310159,Aguja Bordado Chino Bordar Punch 3 Medidas Intercambiable,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-915310159-aguja-bordado-chino-bordar-punch-3-medidas-intercambiable-_JM,buy_it_now,MCO,MCO441121,MCO-EMBROIDERY_NEEDLES,44900,,50,,,True,2043-11-07T13:31:10.988Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,672911390,COSER ENLINEA,36.0,1247.22,0.0,COP,bordar
MCO628726176,Kit Lapices De Dibujo + Difuminos Pointer.,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-628726176-kit-lapices-de-dibujo-difuminos-pointer-_JM,buy_it_now,MCO,MCO172626,MCO-PENCILS,20930,23000.0,1,,,True,2041-05-24T04:00:00.000Z,False,[],MCO1368,False,False,fulfillment,me2,['fulfillment'],,,556463490,BOCETOS_PAPELERIA,36.0,581.39,0.0,COP,Pointer
MCO1255671356,Kit De Marcadores De Alcohol X24 Doble Punta,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1255671356-kit-de-marcadores-de-alcohol-x24-doble-punta-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,39000,,1,,,True,2043-02-18T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,172795353,DENUEVOOCOM,12.0,3250.0,0.0,COP,Touch
MCO1311176105,Anillo Doble O 16 Mm 50 Tiras Paso 2:1 Color Negro,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1311176105-anillo-doble-o-16-mm-50-tiras-paso-21-color-negro-_JM,buy_it_now,MCO,MCO388335,MCO-BINDING_SPINES,58900,,1,,,True,2043-11-07T13:31:08.257Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,672911390,COSER ENLINEA,36.0,1636.11,0.0,COP,Anillo Metalico Doble o
MCO834177550,Cuaderno Grande Argollado Norma Natural Cuadriculado X 5 Uds,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-834177550-cuaderno-grande-argollado-norma-natural-cuadriculado-x-5-uds-_JM,buy_it_now,MCO,MCO388307,MCO-NOTEBOOKS_AND_WRITING_PADS,31759,31759.0,1,440.0,Garabatos,True,2041-11-16T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,[],,,292583150,GARABATOS PAPELERIA,36.0,882.19,0.0,COP,Norma
MCO608650337,Tinta Borrable En Seco Para Marcadores* 120ml - Kit*4 Unds,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-608650337-tinta-borrable-en-seco-para-marcadores-120ml-kit4-unds-_JM,buy_it_now,MCO,MCO441185,MCO-SCHOOL_AND_OFFICE_SUPPLIES,94050,99000.0,5000,,,True,2041-02-17T04:00:00.000Z,False,[],MCO1368,False,True,xd_drop_off,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in', 'mandatory_free_shipping']",,,134190270,INDUSTRIASMAX,12.0,7837.5,0.0,COP,Ecomax
MCO1371136265,Marcadores Doble Punta Dibujos Base De Alcohol 100 Colores,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1371136265-marcadores-doble-punta-dibujos-base-de-alcohol-100-colores-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,113750,125000.0,50,,,True,2043-12-08T04:00:00.000Z,False,[],MCO1368,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,83723474,MULTICOMPRAS COLOMBIA,36.0,3159.72,0.0,COP,Genérica
MCO953804243,Cinta Adhesiva Removible Lavable Reutilizable Ivy Grip Tape,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-953804243-cinta-adhesiva-removible-lavable-reutilizable-ivy-grip-tape-_JM,buy_it_now,MCO,MCO180001,MCO-ADHESIVE_TAPES,23760,29700.0,1,,,True,2042-08-27T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,209052967,INVERSIONES JPA,36.0,660.0,0.0,COP,Ivy Grip Trape
MCO1233511541,Protector Forro Para Cuaderno Transparente X 50 Unidades,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1233511541-protector-forro-para-cuaderno-transparente-x-50-unidades-_JM,buy_it_now,MCO,MCO388307,MCO-NOTEBOOKS_AND_WRITING_PADS,58000,,50,,,True,2043-02-05T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,179085534,DANICO IMPORTACIONES,12.0,4833.33,0.0,COP,PaperShopExpress
