id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO446471943,"Lp Vinilo The Rolling Stones It,s Only Rock And Roll",used,,gold_special,https://articulo.mercadolibre.com.co/MCO-446471943-lp-vinilo-the-rolling-stones-its-only-rock-and-roll-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,100000,1,,True,2037-06-29T22:07:41.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2777.78,0.0,COP,
MCO451851711,Lp Vinilo Francy La Voz Popular De America 1992,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-451851711-lp-vinilo-francy-la-voz-popular-de-america-1992-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,150000,1,,True,2037-07-03T13:34:58.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,4166.67,0.0,COP,
MCO467641124,Metallica - The Black Album - Lp Doble Sellado Nuevo,new,MCO22487111,gold_special,https://articulo.mercadolibre.com.co/MCO-467641124-metallica-the-black-album-lp-doble-sellado-nuevo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,239900,1,,True,2038-03-26T04:00:00.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,"['mandatory_free_shipping', 'self_service_out']",,,87840522,REPUBLIKA RECORDS,36.0,6663.89,0.0,COP,
MCO574028216,Soldado Americano. Joe: Represalias Dvd,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-574028216-soldado-americano-joe-represalias-dvd-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,103900,1,,True,2040-07-26T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",,,221747504,ANICAM-BUSINESS,36.0,2886.11,0.0,COP,DVD
MCO471693335,Lp Vinilo Las Estrellas De La Fania Volumen 6 Colombia 1992,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-471693335-lp-vinilo-las-estrellas-de-la-fania-volumen-6-colombia-1992-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,,True,2038-05-18T10:13:33.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2500.0,0.0,COP,
MCO491822252,Def Leppard - Hysteria 30th Anniversary - Lp Doble Nuevo,new,MCO22608236,gold_special,https://articulo.mercadolibre.com.co/MCO-491822252-def-leppard-hysteria-30th-anniversary-lp-doble-nuevo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,239900,1,,True,2038-10-31T04:00:00.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,87840522,REPUBLIKA RECORDS,36.0,6663.89,0.0,COP,
MCO510581316,Metallica - St. Anger 2003 Cd & Dvd Vers. Usa,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-510581316-metallica-st-anger-2003-cd-dvd-vers-usa-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,59000,1,,True,2039-04-19T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,42776629,ANDREW1996,36.0,1638.89,0.0,COP,
MCO557990180,The Chemical Brothers - Come With Us - Cd Usado Edc Japón,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-557990180-the-chemical-brothers-come-with-us-cd-usado-edc-japon-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,1,,True,2040-03-27T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,[],,,499571,DISIDENCIA STORE,36.0,1944.44,0.0,COP,
MCO589565591,Lp Vinilo Miguel Bose Salamandra Edicion Colombia 1986,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-589565591-lp-vinilo-miguel-bose-salamandra-edicion-colombia-1986-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,100000,1,,True,2040-10-11T04:00:00.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2777.78,0.0,COP,
MCO574559154,Silent Hill [blu-ray],new,,gold_special,https://articulo.mercadolibre.com.co/MCO-574559154-silent-hill-blu-ray-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,115900,1,,True,2040-07-29T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,3219.44,0.0,COP,Blu-Ray
MCO805192806,Iron Maiden Senjutsu 2cd Deluxe Mediabook Limited,new,MCO22503407,gold_special,https://articulo.mercadolibre.com.co/MCO-805192806-iron-maiden-senjutsu-2cd-deluxe-mediabook-limited-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,175000,1,,True,2041-09-02T04:00:00.000Z,False,[],,MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,489322202,JUIV2266616,36.0,4861.11,0.0,COP,
MCO834177281,Cd Eros Ramazzotti-eros.    Ljp,used,MCO22493413,gold_special,https://articulo.mercadolibre.com.co/MCO-834177281-cd-eros-ramazzotti-eros-ljp-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,18000,1,,True,2041-11-16T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,[],,,104300330,VENTASLEOJP,,,,,
MCO914909609,Lp Vinilo Disco Acetato Las Moskas Rock ,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-914909609-lp-vinilo-disco-acetato-las-moskas-rock-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,160000,1,,True,2042-06-20T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,[],,,140794196,CALIROCK,36.0,4444.44,0.0,COP,
MCO1148232493,Cd Pies Descalzos ( Nuevo Y Sellado ),new,MCO22608344,gold_special,https://articulo.mercadolibre.com.co/MCO-1148232493-cd-pies-descalzos-nuevo-y-sellado--_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,99900,1,,True,2042-12-13T04:00:00.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,332695706,OP MUSIC,36.0,2775.0,0.0,COP,
MCO1164411762,The Rolling Stones- Forty Licks / 2 Cd´s Printed In Usa 2002,used,MCO28112846,gold_special,https://articulo.mercadolibre.com.co/MCO-1164411762-the-rolling-stones-forty-licks-2-cds-printed-in-usa-2002-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,79900,1,,True,2042-12-23T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,2219.44,0.0,COP,
MCO574586649,Guerra Mundial Z (blu-ray Dvd Digital Hd),new,,gold_special,https://articulo.mercadolibre.com.co/MCO-574586649-guerra-mundial-z-blu-ray-dvd-digital-hd-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,103900,1,,True,2040-07-29T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,"['fs_threshold_mco_change_apr2021', 'mandatory_free_shipping']",,,221747504,ANICAM-BUSINESS,36.0,2886.11,0.0,COP,
MCO1306208783,Cd: Blunt James Once Upon A Mind Usa Import Cd,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1306208783-cd-blunt-james-once-upon-a-mind-usa-import-cd-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,114677,50,,True,2043-06-11T04:00:00.000Z,False,[],,MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,817708959,THEBOOKSTORECO,12.0,9556.42,0.0,COP,Atlantic
MCO1329677447,Dimmu Borgir. Death Cult Armageddon Y Stormblast.,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1329677447-dimmu-borgir-death-cult-armageddon-y-stormblast-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,135000,1,,True,2043-10-14T16:29:52.000Z,False,[],,MCO1168,False,True,drop_off,me2,[],,,1926672,JUANOROZCO22,36.0,3750.0,0.0,COP,
MCO1334248687,Cd Doble Step Back In Time De Kylie Minogue ,new,MCO24547241,gold_pro,https://articulo.mercadolibre.com.co/MCO-1334248687-cd-doble-step-back-in-time-de-kylie-minogue-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,1,,True,2043-08-28T04:00:00.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,[],,,66007396,CALENO13,12.0,5000.0,0.0,COP,
MCO1385831839,Cd Taylor Swift - 1989 + Bonus Tracks / Printed In Usa,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1385831839-cd-taylor-swift-1989-bonus-tracks-printed-in-usa-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,64900,1,,True,2044-01-21T04:00:00.000Z,False,[],,MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1802.78,0.0,COP,
MCO1408408906,Maía - Ingenuidad - Sencillo,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1408408906-maia-ingenuidad-sencillo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,38000,1,,True,2043-03-29T04:00:00.000Z,False,[],,MCO1168,False,False,drop_off,me2,[],,,45078463,TELOCOMPROUSA,36.0,1055.56,0.0,COP,
MCO1630944456,Black Sabbath  Sabbath Bloody Sabbath - Lp Vinilo,used,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1630944456-black-sabbath-sabbath-bloody-sabbath-lp-vinilo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,190000,1,,True,2043-05-26T19:34:57.000Z,False,[],,MCO1168,False,True,xd_drop_off,me2,[],,,150959578,VAAN2710154,12.0,15833.33,0.0,COP,
