id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO547187500,El Lago De Los Cisnes Caja Musical,new,gold_special,https://articulo.mercadolibre.com.co/MCO-547187500-el-lago-de-los-cisnes-caja-musical-_JM,buy_it_now,MCO,MCO1885,MCO-ANTIQUES,43890,46200.0,1,True,2040-05-21T00:58:04.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,342366381,ONIANIMESTORE,36.0,1219.17,0.0,COP,
MCO570999788,El Castillo En El Cielo Caja Musical Castle In The Sky ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-570999788-el-castillo-en-el-cielo-caja-musical-castle-in-the-sky-_JM,buy_it_now,MCO,MCO1885,MCO-ANTIQUES,41040,43200.0,1,True,2040-07-10T04:00:00.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,342366381,ONIANIMESTORE,36.0,1140.0,0.0,COP,
MCO960514688,Colombia Moneda 10 Centavos 1956,new,gold_special,https://articulo.mercadolibre.com.co/MCO-960514688-colombia-moneda-10-centavos-1956-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,20000,,1,True,2042-09-08T04:00:00.000Z,False,[],MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,555.56,0.0,COP,
MCO1235911113,Billetes Colombianos De 50 Pesos De 1986,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1235911113-billetes-colombianos-de-50-pesos-de-1986-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,240000,,1,True,2043-02-07T04:00:00.000Z,False,[],MCO1367,False,True,xd_drop_off,me2,[],,,638328013,NANCYNELLYMOSQUERA,36.0,6666.67,0.0,COP,
MCO659276017,Llavero  Juego De Tronos-casa Stark Coleccionable,new,gold_special,https://articulo.mercadolibre.com.co/MCO-659276017-llavero-juego-de-tronos-casa-stark-coleccionable-_JM,buy_it_now,MCO,MCO172914,MCO-KEYCHAINS,21241,24990.0,1,True,2041-08-21T04:00:00.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,527435824,VARIEDADYCULTURA,36.0,590.03,0.0,COP,VC
MCO1241930764,50 Centavos 1967 Sin Circular,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1241930764-50-centavos-1967-sin-circular-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,40000,,1,True,2043-02-12T04:00:00.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,[],,,65616184,WORLD COLLECTIONS200,36.0,1111.11,0.0,COP,
MCO824371259,Colombia 20000 Pesos 6 Agosto 2010,new,gold_special,https://articulo.mercadolibre.com.co/MCO-824371259-colombia-20000-pesos-6-agosto-2010-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,114470,121000.0,1,True,2041-10-19T04:00:00.000Z,False,[],MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,91086457,NIKY6919,36.0,3179.72,0.0,COP,
MCO1636863156,Bandera Fútbol Club Barcelona 1.50x90cm Barca Exterior Grand,new,gold_special,https://articulo.mercadolibre.com.co/MCO-1636863156-bandera-futbol-club-barcelona-150x90cm-barca-exterior-grand-_JM,buy_it_now,MCO,MCO393901,MCO-FLAGS,44990,,1,True,2043-11-16T20:30:40.100Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,391868900,STTRIKER.CO,36.0,1249.72,0.0,COP,
MCO594626901,Colombia Moneda 50 Centavos 1970,new,gold_special,https://articulo.mercadolibre.com.co/MCO-594626901-colombia-moneda-50-centavos-1970-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,12000,,1,True,2040-11-09T04:00:00.000Z,False,[],MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO573754919,2000 Pesos 1986 Bolívar Estado 10 Thomas De La Rue,new,gold_special,https://articulo.mercadolibre.com.co/MCO-573754919-2000-pesos-1986-bolivar-estado-10-thomas-de-la-rue-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,95000,,1,True,2040-07-25T04:00:00.000Z,False,[],MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,143141724,WORLD COLLECTIONS100,36.0,2638.89,0.0,COP,
MCO659276882,Llavero  Juego De Tronos-casa Greyjoy Coleccionable,new,gold_special,https://articulo.mercadolibre.com.co/MCO-659276882-llavero-juego-de-tronos-casa-greyjoy-coleccionable-_JM,buy_it_now,MCO,MCO172914,MCO-KEYCHAINS,21121,26240.0,1,True,2041-08-21T04:00:00.000Z,False,[],MCO1367,False,False,cross_docking,me2,['self_service_in'],,,527435824,VARIEDADYCULTURA,36.0,586.69,0.0,COP,VC
MCO800939873,11 Monedas Colombianas De 5 Centavos. Año 1886,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-800939873-11-monedas-colombianas-de-5-centavos-ano-1886-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,200000,,1,True,2044-01-11T05:20:50.306Z,False,[],MCO1367,False,True,xd_drop_off,me2,[],,,638328013,NANCYNELLYMOSQUERA,12.0,16666.67,0.0,COP,
MCO877913450,Colombia Reposición 100 Pesos Oro 1 Enero 1977,new,gold_special,https://articulo.mercadolibre.com.co/MCO-877913450-colombia-reposicion-100-pesos-oro-1-enero-1977-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,175000,,1,True,2042-03-30T04:00:00.000Z,False,[],MCO1367,False,True,drop_off,me2,['mandatory_free_shipping'],,,91086457,NIKY6919,36.0,4861.11,0.0,COP,
MCO475893038,Álbum Catalogo Para Guardar 200 Monedas Antiguas Colombianas,new,gold_special,https://articulo.mercadolibre.com.co/MCO-475893038-album-catalogo-para-guardar-200-monedas-antiguas-colombianas-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,58000,,1,True,2041-11-18T15:45:49.000Z,False,[],MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,324654493,EXONICA SAS.,36.0,1611.11,0.0,COP,
